PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Al-Alwani, MAM; Ludin, NA; Mohamad, A; Kadhum, AH; Mukhlus, A",,,,"Al-Alwani, Mahmoud A. M.; Ludin, Norasikin A.; Mohamad, Abu Bakar; Kadhum, Abd. Amir H.; Mukhlus, Abduljabbar",,,Application of dyes extracted from Alternanthera dentata leaves and Musa acuminata bracts as natural sensitizers for dye-sensitized solar cells,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,,,,,,,,,,,,"The natural dyes anthocyanin and chlorophyll were extracted from Musa acuminata bracts and Alternanthera dentata leaves, respectively. The dyes were then applied as sensitizers in TiO2-based dye-sensitized solar cells (DSSCs). The ethanol extracts of the dyes had maximum absorbance. High dye yields were obtained under extraction temperatures of 70 to 80 degrees C, and the optimal extraction temperature was approximately 80 degrees C. Moreover, dye concentration sharply decreased under extraction temperatures that exceeded 80 degrees C. High dye concentrations were obtained using acidic extraction solutions, particularly those with a pH value of 4. The DSSC fabricated with anthocyanin from M. acuminata bracts had a conversion efficiency of 0.31%, short-circuit current (I-Sc) of 0.9 mA/cm(2), open-circuit voltage (V-oc) of 0.58 V, and fill factor (FF) of 62.22%. The DSSC sensitized with chlorophyll from A. dentata leaves had a conversion efficiency of 0.13%, I-Sc of 0.4 mA/cm(-2), V-oc of 0.54 V, and FF of 67.5%. The DSSC sensitized with anthocyanin from M. acuminata bracts had a maximum incident photon-to-current conversion efficiency of 42%, which was higher than that of the DSSC sensitized with chlorophyll from A. dentata leaves (23%). Anthocyanin from M. acuminata bracts exhibited the best photosensitization effects. (C) 2017 Elsevier B.V. All rights reserved.",,,,"Al-Alwani, Mahmoud A. M./K-1015-2019","A. M. Al-Alwani, Mahmoud/0000-0003-3985-5877",,,,,,,,,,,,1386-1425,,,,,5-Mar,2018,192,,,,,,487,498,,10.1016/j.saa.2017.11.018,,,,,,,,WOS:000424716900064,29133132,,,,
J,"Gong, Y; Cole, JM; Ozoe, H; Kawase, T",,,,"Gong, Yun; Cole, Jacqueline M.; Ozoe, Hiroaki; Kawase, Takeshi",,,Photoexcited Phenyl Ring Twisting in Quinodimethane Dyes Enhances Photovoltaic Performance in Dye-Sensitized Solar Cells,ACS APPLIED ENERGY MATERIALS,,,,,,,,,,,,"Four metal-free organic quinodimethane-based dyes, which represent molecular building blocks for a new class of DSSC dyes, were studied with the objective to improve their photovoltaic performance via molecular engineering strategies. Such strategies can only be systematic and successful if they are derived from knowledge-based paradigms that relate individual aspects of the molecular structure for a given class of dyes to their photovoltaic properties. The optical and electrochemical properties of these dyes were investigated experimentally by UV-vis absorption and emission spectroscopy, as well as cyclic voltammetry and electrochemical impedance spectroscopy. Density functional theory (DFT) and time-dependent DFT (TD-DFT) calculations on these dyes complement these experiments. Among other results, this concerted experimental and computational study revealed that the dialkylaminophenyl moiety in these dyes exhibits a large twist as a result of its ground-to-excited-state optical transition. In particular, a near-perpendicular (88.98 degrees) twist of the dimethylaminophenyl moiety relative to the pi-bridging unit that connects the three aryl rings in 2 was observed upon formation of its photo-excited-state structure. Moreover, it was discovered that 2 affords the highest V-OC and power-conversion efficiency (PCE) values among these dyes. The particularly high PCE for 2 was found to be due to this twisting of the phenyl ring, which blocks the pathway of electrons from TiO2 to the donor, and hence suppresses undesirable electron recombination at the dye center dot center dot center dot TiO2 interface. This diode-like effect minimizes undesirable electron recombination effects and represents an unprecedented structure property relationship that should be useful for the molecular engineering of larger chromophores in this class of dyes for DSSC applications.",,,,"Cole, Jacqueline/C-5991-2008",,,,,,,,,,,,,2574-0962,,,,,MAR,2018,1,3,,,,,1127,1139,,10.1021/acsaem.7b00244,,,,,,,,WOS:000458705200027,,,,,
J,"Roy, A; Das, PP; Selvaraj, P; Sundaram, S; Devi, PS",,,,"Roy, Anurag; Das, Partha Pratim; Selvaraj, Prabhakaran; Sundaram, Senthilarasu; Devi, Parukuttyamma Sujatha",,,Perforated BaSnO3 Nanorods Exhibiting Enhanced Efficiency in Dye Sensitized Solar Cells,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,,,,,,,,,,,,"Here, we report the synthesis of phase pure perforated porous BaSnO3 (BSO) nanorods and their application as an alternative photoanode in dye sensitized solar cells (DSSCs). BaSnO3, synthesized using different amounts of dextran, has been characterized through various physicochemical techniques to understand the effect of dextran in controlling its morphology. The porous morphology of the rod facilitated enhanced N719 dye loading capability within a very short duration of 20 min. The dye adsorption behavior of the nanorod has been monitored through UV-vis absorption spectroscopy and contact angle measurements. Further, as an alternative photoanode, a DSSC of active area 0.2826 cm(2) fabricated with the porous BaSnO3 exhibited a maximum efficiency of 4.31% with a significantly high V-OC of 0.82 V whereas, after TiCl4 treatment, the same cell exhibited an enhanced efficiency of 6.86% under 1 sun AM 1.5. On the basis of our results, we are able to establish porosity as an important factor in reducing the time required for effective dye adsorption which will be highly beneficial for technology development.",,,,,,,,,,,,,,,,,2168-0485,,,,,MAR,2018,6,3,,,,,3299,3310,,10.1021/acssuschemeng.7b03479,,,,,,,,WOS:000427092900054,,,,,
J,"Chen, WC; Yeh, MH; Lin, LY; Vittal, R; Ho, KC",,,,"Chen, Wei-Chieh; Yeh, Min-Hsin; Lin, Lu-Yin; Vittal, R.; Ho, Kuo-Chuan",,,Double-Wall TiO2 Nanotubes for Dye-Sensitized Solar Cells: A Study of Growth Mechanism,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,,,,,,,,,,,,"One-dimensional TiO2 nanotubes (TNTs) are promising semiconductor photoanodes for dye-sensitized solar cells (DSSCs) due to their rapid electron transportation property; however, the lack of high surface area restricts their application. Double-wall TiO2 nanotubes (DWTNTs) were synthesized to compensate for the smaller surface area of single-wall TiO2 nanotubes (SWTNTs) and the comprehensive growth mechanism of DWTNTs is clearly demonstrated in this study. The evolution of pores and pits in three dimensions causes the formation of DWTNTs. After optimizing the thickness of DWTNTs, the DSSC with DWTNTs on the flexible Ti substrate showed a higher power conversion efficiency (ri) of 6.90 +/- 0.10%, as compared to that of the cell with SWTNTs (4.66 +/- 0.15%), owing to a significant increase in the short-circuit photocurrent density caused by the higher surface area for dye adsorption for former case. Electrochemical impedance spectroscopy, incident photon-to-electron conversion efficiency curves, and UV-vis absorption spectra were conducted to sustain the explanations.",,,,"Ho, kuo-chuan/Q-3419-2019; Yeh, Min-Hsin/L-2446-2014","Yeh, Min-Hsin/0000-0002-6150-4750",,,,,,,,,,,,2168-0485,,,,,MAR,2018,6,3,,,,,3907,3915,,10.1021/acssuschemeng.7b04250,,,,,,,,WOS:000427092900119,,,,,
J,"Batmunkh, M; Shrestha, A; Bat-Erdene, M; Nine, MJ; Shearer, CJ; Gibson, CT; Slattery, AD; Tawfik, SA; Ford, MJ; Dai, S; Qiao, SZ; Shapter, JG",,,,"Batmunkh, Munkhbayar; Shrestha, Aabhash; Bat-Erdene, Munkhjargal; Nine, Md Julker; Shearer, Cameron J.; Gibson, Christopher T.; Slattery, Ashley D.; Tawfik, Sherif Abdulkader; Ford, Michael J.; Dai, Sheng; Qiao, Shizhang; Shapter, Joseph G.",,,Electrocatalytic Activity of a 2D Phosphorene-Based Heteroelectrocatalyst for Photoelectrochemical Cells,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,,,,,,,,,,,"Research into efficient synthesis, fundamental properties, and potential applications of phosphorene is currently the subject of intense investigation. Herein, solution-processed phosphorene or few-layer black phosphorus (FL-BP) sheets are prepared using a microwave exfoliation method and used in photoelectrochemical cells. Based on experimental and theoretical (DFT) studies, the FL-BP sheets are found to act as catalytically active sites and show excellent electrocatalytic activity for triiodide reduction in dye-sensitized solar cells. Importantly, the device fabricated based on the newly designed cobalt sulfide (CoSx) decorated nitrogen and sulfur co-doped carbon nanotube heteroelectrocatalyst coated with FL-BP (FL-BP@N,S-doped CNTs-CoSx) displayed an impressive photovoltaic efficiency of 8.31%, outperforming expensive platinum based cells. This work paves the way for using phosphorene-based electrocatalysts for next-generation energy-storage systems.",,,,"Dai, Sheng/H-5951-2018; Dai, Sheng/F-8858-2014; Batmunkh, Munkhbayar/R-9220-2019; Gibson, Christopher T/G-3626-2010; Tawfik, Sherif/Q-8982-2019; Qiao, Shizhang/A-6057-2010; Ford, Michael John/K-2040-2019; Bat-Erdene, Munkhjargal/R-9553-2019; Shearer, Cameron/F-7265-2014; Shapter, Joe/I-1894-2018","Dai, Sheng/0000-0002-9152-0786; Dai, Sheng/0000-0002-9152-0786; Batmunkh, Munkhbayar/0000-0002-7493-4186; Gibson, Christopher T/0000-0003-3334-5059; Qiao, Shizhang/0000-0002-4568-8422; Ford, Michael John/0000-0002-8595-5900; Bat-Erdene, Munkhjargal/0000-0001-7214-3316; Shearer, Cameron/0000-0002-8192-3696; Shapter, Joe/0000-0002-4000-2751; Slattery, Ashley/0000-0003-4023-3506; Nine, Md. Julker/0000-0002-5740-8627",,,,,,,,,,,,1433-7851,1521-3773,,,,1-Mar,2018,57,10,,,,,2644,2647,,10.1002/anie.201712280,,,,,,,,WOS:000426252400020,29345038,,,,
J,"Koo, BR; Oh, DH; Ahn, HJ",,,,"Koo, Bon-Ryul; Oh, Dong-Hyeun; Ahn, Hyo-Jin",,,Influence of Nb-doped TiO2 blocking layers as a cascading band structure for enhanced photovoltaic properties,APPLIED SURFACE SCIENCE,,,,,,,,,,,,"Nb-doped TiO2 (Nb-TiO2) blocking layers (BLs) were developed using horizontal ultrasonic spray pyrolysis deposition (HUSPD). In order to improve the photovoltaic properties of the dye-sensitized solar cells (DSSCs), we optimized the Nb doping level of the Nb-TiO2 BLs by controlling the Nb/Ti molar ratio (0, 5, 6, and 7) of the precursor solution for HUSPD. Compared to bare TiO2 BLs, the Nb-TiO2 BLs formed a cascading band structure using the positive shift of the conduction band minimum of the Nb-TiO2 positioned between fluorine-doped tin oxide (FTO) and TiO2. This results in the increase of the potential current and the suppression of the electron recombination. Hence, it led to the improvement of the electrical conductivity, due to the increased electron concentration by the Nb doping into TiO2. Therefore, the DSSC fabricated with the Nb-TiO(2 )BLs at a Nb/Ti molar ratio of 6 showed superior photoconversion efficiency (similar to 7.50 +/- 0.20%) as a result of the improved short-circuit current density. This is higher than those with the other Nb-TiO2 BLs and without BL. This improvement of the photovoltaic properties for the DSSCs can be attributed to the synergistic effects of uniform and compact BL relative to the prevention of the backward electron transport at the FTO/electrolyte interface, efficient electron transport at interfaces relative to a cascading band structure of FTO/Nb-TiO2/TiO2 multilayers and the facilitated electron transport at the BLs relative to the increased electrical conductivity of the optimized Nb-TiO2 BLs. (C) 2017 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0169-4332,1873-5584,,,,1-Mar,2018,433,,,,,,27,34,,10.1016/j.apsusc.2017.10.078,,,,,,,,WOS:000418883800004,,,,,
J,"Xiao, N; Song, JW; Wang, YW; Liu, C; Zhou, Y; Liu, ZQ; Li, MY; Qiu, JS",,,,"Xiao, Nan; Song, Junwei; Wang, Yuwei; Liu, Chang; Zhou, Ying; Liu, Zhiqiang; Li, Mingyu; Qiu, Jieshan",,,Nitrogen-doped porous carbon with well-balanced charge conduction and electrocatalytic activity for dye-sensitized solar cells,CARBON,,,,,,,,,,,,"Nitrogen-doped porous carbon with well-balanced charge conduction and electrocatalytic activity were synthesized from nitrogen-rich pitch by hard-template method. The sample carbonized at 900 degrees C possessing high nitrogen content (7.11 wt.%) and large specific surface area exhibits high electrocatalytic activity in dye-sensitized solar cells. A fast charge conduction involving facile ion transport and rapid electron transfer can be attributed to the open framework structure and soft carbon nature of pitch derived porous carbon, respectively. Owing to these merits, the nitrogen-doped porous carbon delivers higher power conversion efficiency (8.75%) than that of the commercial Pt electrode (7.55%). (c) 2017 Elsevier Ltd. All rights reserved.",,,,,"Qiu, jieshan/0000-0002-6892-6665",,,,,,,,,,,,0008-6223,1873-3891,,,,MAR,2018,128,,,,,,201,204,,10.1016/j.carbon.2017.10.098,,,,,,,,WOS:000418479900023,,,,,
J,"Zhao, XY; Shen, HP; Luo, Q; Zhou, Y; Li, X; Dai, XZ; Zhao, XC; Li, JB; Li, X; Lin, H",,,,"Zhao, Xingyue; Shen, Heping; Luo, Qiang; Zhou, Yu; Li, Xin; Dai, Xuezeng; Zhao, Xiaochong; Li, Jianbao; Li, Xin; Lin, Hong",,,Novel Design for Flexible Quasi-solid-state Dye-sensitized Solar Cells Based on Heat-resistant Glass Paper,CHEMISTRY LETTERS,,,,,,,,,,,,"Paper-based electronics have obtained increasing attention as they offer benefits of light weight, flexibility, and low cost. In this work, heat-resistant borosilicate glass paper, showing extraordinary flexibility and being able to be treated at high temperature (ca. 500 degrees C), is used as the substrate for flexible dyesensitized solar cells (DSSCs) for the first time. High-quality photoanodes were prepared via a novel sequent filling method with the aid of poly(methyl methacrylate) (PMMA) and ice layers, leading to smooth and continuous TiO2 film. A completely different device structure compared to the conventional design was also brought about, by taking advantage of using this photoanode as solid-state electrolyte supporter and being further connected with the counter-electrode. The prototype solar cell was successfully demonstrated for the first time, with a decent initiating photovoltaic performance, resulting in an efficiency of 0.85% (open-circuit voltage, V-oc = 0.67V; short-circuit current density, J(sc) = 3.76 mA cm(-2); fill factor, FF = 0.34). This work provides a new prospective for fabricating flexible DSSCs, which successfully resolved the long-term stability issues due to the incompatibility of high temperature sintering and front-side illumination existing in polymer and metal foils respectively. This extraordinary paper also shows potential for wide application as flexible substrate in other types of photovoltaics such as perovskite solar cells, which are currently being intensely investigated.",,,,"Zhou, Yu/D-5754-2019","Zhou, Yu/0000-0001-7233-4649",,,,,,,,,,,,0366-7022,1348-0715,,,,MAR,2018,47,3,,,,,377,380,,10.1246/cl.171082,,,,,,,,WOS:000426751700032,,,,,
J,"Kumar, S; Singh, R; Mahajan, A; Bedi, RK; Saxena, V; Aswal, DK",,,,"Kumar, Sanjeev; Singh, Rajinder; Mahajan, Aman; Bedi, R. K.; Saxena, Vibha; Aswal, D. K.",,,Optimized reduction of graphite oxide for highly exfoliated silver nanoparticles anchored graphene sheets for dye sensitized solar cell applications,ELECTROCHIMICA ACTA,,,,,,,,,,,,"In the present work, we have synthesized graphene sheets by optimizing reduction of graphite oxide (GO) by hydrazine hydrate (N2H4 center dot xH(2)O) reducing agent and anchored them with silver nanoparticles (Ag NPs). Morphological and spectroscopic studies confirmed the formation of highly exfoliated graphene sheets separated by Ag NPs with improved C/O ratio. The highly electrocatalytic and exfoliated network of graphene sheets/Ag nanocoatings uniformly adhered to FTO substrate has been utilized as platinum (Pt) free counter electrode (CE) in dye sensitized solar cells (DSSC). Fabricated DSSC with only 2.7 mu m thick TiO2 photoanode exhibited photo conversion efficiency (eta = 3.44%) and short circuit current density (J(sc) = 7.03 mA cm(-2)) comparable to DSSC containing Pt-CE without any loss of open circuit voltage (V-oc = 0.71 V) and fill factor (FF = 0.68). (c) 2018 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0013-4686,1873-3859,,,,1-Mar,2018,265,,,,,,131,139,,10.1016/j.electacta.2018.01.154,,,,,,,,WOS:000425751600016,,,,,
J,"Yun, SN; Qin, Y; Uhl, AR; Vlachopoulos, N; Yin, M; Li, DD; Han, XG; Hagfeldt, A",,,,"Yun, Sining; Qin, Yong; Uhl, Alexander R.; Vlachopoulos, Nick; Yin, Min; Li, Dongdong; Han, Xiaogang; Hagfeldt, Anders",,,New-generation integrated devices based on dye-sensitized and perovskite solar cells,ENERGY & ENVIRONMENTAL SCIENCE,,,,,,,,,,,,"The sharp increase of research passion in the new-generation solar cells in recent years has resulted in a new trend in combining multiple types of energy devices in a single device. In view of the enhanced and/or diversified function of integrated devices, as compared with conventional devices with limited performance or sole applicability, many integrated power packs have been widely developed by combining different devices, such as a silicon solar cell (SSC), Cu(In,Ga)(Sn,Se)(2) (CIGS), organic solar cell (OSC), dye-sensitized solar cell (DSSC), perovskite solar cell (PSC), lithium-ion battery (LIB), nanogenerator (NG), supercapacitor (SC), photoelectrosynthetic cell (PESC), and electrolysis cell (ELC), into one unit. In this Review, with a particular emphasis on their recent advances, we cover the integrated solar cell device research in a broad sense and provide an overview of state-of-the-art progress on the integrated solar cell devices based on DSSC and PSC, such as DSSC/LIB, DSSC/SC, DSSC/NG, DSSC/LIB/NG, PSC/OSC, PSC/CIGS, PSC/PSC, PSC/SSC, SSC/SC, PSC/SC, OSC/SC, DSSC/PESC, PSC/PESC, and PSC/ELC, for energy harvesting and storage that are significantly important for self-powering systems and portable/wearable electronics. Finally, the challenges and future outlooks in this promising photovoltaic (PV) field are featured on the basis of current development.",,,,"Li, Dongdong/A-2703-2011; Qin, Yong/T-5235-2019; Qin, Yong/G-5890-2010; Vlachopoulos, Nick/S-6568-2016","Li, Dongdong/0000-0003-3219-181X; Qin, Yong/0000-0002-6713-480X; Qin, Yong/0000-0002-6713-480X; Vlachopoulos, Nick/0000-0001-5192-8122",,,,,,,,,,,,1754-5692,1754-5706,,,,1-Mar,2018,11,3,,,,,476,526,,10.1039/c7ee03165c,,,,,,,,WOS:000428184700002,,,,,
