PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Kim, MC; Ahn, N; Lim, E; Jin, YU; Pikhitsa, PV; Heo, J; Kim, SK; Jung, HS; Choi, M",,,,"Kim, Min-cheol; Ahn, Namyoung; Lim, Eunhak; Jin, Young Un; Pikhitsa, Peter V.; Heo, Jiyoung; Kim, Seong Keun; Jung, Hyun Suk; Choi, Mansoo",,,Degradation of CH3NH3PbI3 perovskite materials by localized charges and its polarity dependency,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"Despite the excellent performance of organic-inorganic hybrid perovskite materials in recent years, the mechanism of their decomposition under actual operating conditions has not yet been elucidated. Herein, we elucidated the breakdown process of CH3NH3PbI3 perovskite crystals and identified the polarity-dependent degradation pathway via localized charges by performing time-evolution measurements of the absorption spectra of perovskite films with different underlying charge transport layers and ab initio molecular dynamics calculations. It was found that the carrier polarity (hole-rich or electron-rich) inside the perovskite films played a critical role in the degradation rate, and the polarity-dependent degradation pathway strongly depended on the combination of the surrounding gaseous molecules. The hole-rich perovskite films degraded more rapidly than the electron-rich ones in the presence of H2O, while this degradation trend was reversed in oxygen-only ambient environments. Interestingly, the hole-rich film is extremely unstable in atmospheric air containing both H2O and O-2, whereas the MAPbI(3) film with excessive electrons was stable in air. An ab initio molecular dynamics simulation was performed to obtain the detailed degradation pathway of MAPbI(3) under atmospheric conditions for different polarities of the localized charge. The simulation results are in good agreement with experimental results, and the production of Pb(OH)I predicted in our simulations is confirmed by X-ray-assisted spectroscopic measurements.",,,,,"Jung, Hyun Suk/0000-0002-7803-6930; Kim, Seong Keun/0000-0001-9891-0931",,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12075,12085,,10.1039/c9ta03180d,,,,,,,,WOS:000472465300044,,,,,
J,"Wang, F; Zhang, T; Wang, YF; Liu, DT; Zhang, P; Chen, H; Ji, L; Chen, L; Chen, ZD; Wu, J; Liu, X; Li, YB; Li, SB",,,,"Wang, Feng; Zhang, Ting; Wang, Yafei; Liu, Detao; Zhang, Peng; Chen, Hao; Ji, Long; Chen, Li; Chen, Zhi David; Wu, Jiang; Liu, Xin; Li, Yanbo; Li, Shibin",,,Steering the crystallization of perovskites for high-performance solar cells in ambient air,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"The fabrication of perovskite solar cells in ambient air is of significant economic benefit. However, to date, there is no satisfactory solution to achieve this, and the reported results of solar cells fabricated in ambient air vary significantly. It has been observed through studies of the turbid point, a time point at which the appearance of the precursor film changes from transparent to turbid, that the crystallization of methylammonium lead iodide (MAPbI(3)) precursor films is strongly affected by humidity. A theoretical model based on the dependence of crystallization on evaporation was developed. We further designed a humidity-insensitive antisolvent method based on the turbid point and its tuning to control the fabrication of high-quality MAPbI(3) films and solar cells irrespective of the ambient humidity levels. Note that a champion device prepared in ambient air at 90% RH exhibits the efficiency of 19.5%, which is highest among those of the devices prepared in ambient air with over 30% RH. Our study may also impact other perovskite devices and inspire other researchers to perform innovative experiments.",,,,,,,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12166,12175,,10.1039/c9ta02566a,,,,,,,,WOS:000472465300053,,,,,
J,"Ma, CJ; Chen, Y; Zhu, C; Chen, Q; Song, WL; Jiao, SQ; Chen, HS; Fang, DN",,,,"Ma, Chao-Jie; Chen, Ya; Zhu, Cheng; Chen, Qi; Song, Wei-Li; Jiao, Shuqiang; Chen, Haosen; Fang, Daining",,,Bismuth ferrite: an abnormal perovskite with electrochemical extraction of ions from A site,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"Perovskite materials (ABX(3)) are significant for energy storage and conversion, and most of the electrochemical processes are currently known to link with the reaction from the active B site. Here, a novel electrochemical active reaction is observed from the A site in perovskite bismuth ferrite (BiFeO3) nanoparticles. With bismuth ion extraction from the A site, single-phase BiFeO3 is found to convert into two phases, namely, Bi2O3 and residual Bi-deficient BiFeO3, and these irreversible products undergo additional separate electrochemical processes in the subsequent cycles. The fundamental understanding suggests that the extracted Bi3+ ions play a dominant role in the electrochemical process via redox reactions of Bi3+ Bi2+ Bi-0. Interestingly, such an electrochemical reaction involving the A site could also be suppressed via heteroatom doping at the A site (yttrium ions), which effectively supports the mechanism of ion extraction. The perspectives for the novel mechanism in electrochemical energy storage are further discussed.",,,,,,,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12176,12190,,10.1039/c9ta02569c,,,,,,,,WOS:000472465300054,,,,,
J,"Contreras-Bernal, L; Ramos-Terron, S; Riquelme, A; Boix, PP; Idigoras, J; Mora-Sero, I; Anta, JA",,,,"Contreras-Bernal, Lidia; Ramos-Terron, Susana; Riquelme, Antonio; Boix, Pablo P.; Idigoras, Jesus; Mora-Sero, Ivan; Anta, Juan A.",,,Impedance analysis of perovskite solar cells: a case study,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"Metal halide perovskites are mixed electronic-ionic semiconductors with an extraordinarily rich optoelectronic behavior and the capability to function very efficiently as active layers in solar cells, with a record efficiency surpassing 23% nowadays. In this work, we carry out an impedance spectroscopy analysis of two perovskite solar cells with quite distinct optical and electrical characteristics, i.e. MAPbI(3) and CsPbBr3-based devices. The main aim of the analysis is to establish how, regardless of the inherent complexity of the impedance spectrum due to ionic effects, information like ideality factors, recombination losses and the collection efficiency can be qualitatively and quantitatively assessed from impedance experiments under operating conditions.",,,,"Boix, Pablo P/M-9519-2015; Mora-Sero, Ivan/E-4781-2014; Anta, Juan/I-8561-2012","Boix, Pablo P/0000-0001-9518-7549; Mora-Sero, Ivan/0000-0003-2508-0994; Anta, Juan/0000-0002-8002-0313",,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12191,12200,,10.1039/c9ta02808k,,,,,,,,WOS:000472465300055,,,,,
J,"Wu, X; Xie, LQ; Lin, KB; Lu, JX; Wang, KX; Feng, WJ; Fan, BB; Yin, PG; Wei, ZH",,,,"Wu, Xin; Xie, Liqiang; Lin, Kebin; Lu, Jianxun; Wang, Kexiang; Feng, Wenjing; Fan, Bingbing; Yin, Penggang; Wei, Zhanhua",,,Efficient and stable carbon-based perovskite solar cells enabled by the inorganic interface of CuSCN and carbon nanotubes,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"Hole transporting material (HTM) free carbon-based perovskite solar cells (C-PSCs) are one kind of promising candidates for new generation photovoltaic technology due to their superior long-term stability and low cost. However, the power conversion efficiency (PCE) of C-PSCs is significantly lower than that of HTM-based PSCs. This is mostly due to the unexpected electron recombination happening at the interface of perovskite/carbon. Moreover, the low conductivity of the carbon electrode slows down the charge collection process and results in a low fill factor and poor PCE. To address these concerns, we firstly inserted an inorganic CuSCN HTM between the perovskite and the carbon electrode to suppress the electron recombination process. Then we used a highly conductive carbon nanotube (CNT) network to form a robust interface of CuSCN/CNT and facilitate the hole collection process. As a result, the updated CuSCN and CNT incorporated C-PSCs exhibit a V-OC of 1.01 V and deliver a PCE up to 17.58% (measured in the backward scan) with pretty good reproducibility, which is the highest PCE in C-PSCs. What's more, the incorporation of CuSCN can also improve the stability of devices dramatically. The optimized device shows superior operational stability, retaining over 80% of its initial performance after 1000 h of continuous one sun illumination.",,,,"Wei, Zhanhua/D-7544-2013","Wei, Zhanhua/0000-0003-2687-0293; WU, Xin/0000-0003-2513-1296",,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12236,12243,,10.1039/c9ta02014d,,,,,,,,WOS:000472465300059,,,,,
J,"Di Girolamo, D; Dar, MI; Dini, D; Gontrani, L; Caminiti, R; Mattoni, A; Graetzel, M; Meloni, S",,,,"Di Girolamo, Diego; Dar, M. Ibrahim; Dini, Danilo; Gontrani, Lorenzo; Caminiti, Ruggero; Mattoni, Alessandro; Graetzel, Michael; Meloni, Simone",,,Dual effect of humidity on cesium lead bromide: enhancement and degradation of perovskite films,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,"CsPbBr3 perovskite is highly desired to fabricate many optoelectronic devices: high photovoltage solar cells, tandem solar cells, light-emitting diodes, lasers, photodetectors, field effect transistors etc. However, to realize these applications, resistance to humidity, one of the most important stressing agents, needs to be understood. In this article, we investigate the effect of prolonged exposure (up to 500 h) of CsPbBr3 to approximate to 60% and 80% relative humidity by in situ X-ray diffraction and ex situ scanning electron microscopy, UV-visible spectroscopy and photoluminescence. We show that humidity does not always have detrimental effects. Indeed, the exposure of CsPbBr3 films to humidity for a limited time (2-3 days and 8 minutes for 60% and 80% RH, respectively) enhances their crystallinity. However, prolonged exposure to humidity results in partial degradation of the perovskite phase leading to the concomitant formation of a new, possibly hydrate, crystalline phase. Restoration of 30% RH leads to partial recovery of the initial phase by nucleation of new small CsPbBr3 crystallites. The present findings suggest that post-deposition treatment under controlled humidity might help in producing better films to enhance the efficiency of optoelectronic devices.",,,,"Mattoni, Alessandro/B-7428-2015; meloni, simone/E-5384-2015; Dini, Danilo/E-4081-2014; Gontrani, Lorenzo/L-6061-2014","Mattoni, Alessandro/0000-0002-1381-6557; meloni, simone/0000-0002-3925-3799; Dini, Danilo/0000-0001-5005-4187; Gontrani, Lorenzo/0000-0001-8212-7029",,,,,,,,,,,,2050-7488,2050-7496,,,,21-May,2019,7,19,,,,,12292,12302,,10.1039/c9ta00715f,,,,,,,,WOS:000472465300065,,,,,
J,"Chen, BB; Hu, HW; Salim, T; Lam, EM",,,,"Chen, Bingbing; Hu, Hongwei; Salim, Teddy; Lam, Yeng Ming",,,A facile method to evaluate the influence of trap densities on perovskite solar cell performance,JOURNAL OF MATERIALS CHEMISTRY C,,,,,,,,,,,,"This work discusses how the behaviour of the fill factor (FF) of devices calculated from current-voltage (I-V) measurements at different light intensities can be used as a basis to assess the trap density of methylammonium lead triiodide (MAPbI(3)) solar cells. Solar cells with different trap densities are prepared using varying molar ratios of methylammonium iodide (MAI) and lead iodide (PbI2) precursors. Excess MAI in the precursor solution yields more traps/defects in perovskite films and when the trap density increases, trap-filling is the dominant loss mechanism, which results in a low FF in perovskite solar cells with excess MAI; this is especially the case at low light intensities. The FF of perovskite solar cells with excess MAI also shows a non-monotonic dependence on light intensity: the FF first increases, followed by a decrease with increasing light intensity. This non-monotonic dependence of the FF on light intensity suggests that both trap-filling and bimolecular recombination are involved in the determination of the FF in perovskite solar cells in cases where a high density of traps exists. Furthermore, we also observed that a stoichiometric precursor solution could lead to a monotonic light intensity-dependence for the FF in perovskite solar cells: the FF continuously decreases as the light intensity is increased from 1.7 to 100 mW cm(-2). This monotonic dependence of the FF on light intensity implies that bimolecular recombination is the main reason for the loss in FF in perovskite solar cells when a low density of trap states exists. In addition, the peak light intensity (P-peak), at which the FF shows the highest value, would shift to a smaller value when the amount of excess MAI in the precursor solution is decreased and it approaches the stoichiometric ratio of one. These results suggest that by looking at how the FF varies with light intensity we can deduce the contribution of traps in the performance of perovskite solar cells. This will help tremendously in focusing on areas for improvement for such solar cells.",,,,"Lam, Yeng Ming/A-2230-2011","Lam, Yeng Ming/0000-0001-9390-8074",,,,,,,,,,,,2050-7526,2050-7534,,,,21-May,2019,7,19,,,,,5646,5651,,10.1039/c9tc00816k,,,,,,,,WOS:000472444000009,,,,,
J,"Ding, SS; Li, SQ; Sun, QJ; Wu, YK; Liu, YF; Li, ZF; Cui, YX; Wang, H; Hao, YY; Wu, YC",,,,"Ding, Saisai; Li, Shiqi; Sun, Qinjun; Wu, Yukun; Liu, Yifan; Li, Zhanfeng; Cui, Yanxia; Wang, Hua; Hao, Yuying; Wu, Yucheng",,,Enhanced performance of perovskite solar cells by the incorporation of the luminescent small molecule DBP: perovskite absorption spectrum modification and interface engineering,JOURNAL OF MATERIALS CHEMISTRY C,,,,,,,,,,,,"The interfacial defect states between the active layer and the charge transport layer in perovskite solar cells (PSCs) are one of the main channels of energy loss, which can result in carrier recombination loss and then limit the efficiency and stability of devices. In this study, the luminescent organic small molecule material tetraphenyldibenzoperiflanthene (DBP) was inserted between CH3NH3PbI3 perovskite and the electron transport layer PCBM as an interface modification layer. As a result, DBP-based PSCs attained the average power conversion efficiency (PCE) of 15.61%, obviously higher than 14.26% of the reference device. The enhanced PCE was attributed to the multifunctional synergistic effect of DBP. DBP not only behaves as an efficient interface modification layer to passivate the perovskite defects and improve the energy level alignment, thereby reducing carrier recombination losses at the interface, but also plays a role as a CH3NH3PbI3 absorption spectrum modification layer by Foster energy transfer and thus enhances the light absorption of the CH3NH3PbI3 layer in the near-infrared region. Moreover, the hydrophobic and passivation effects of DBP improve the air-, thermal- and photo-stability of the PSCs. This study demonstrates the use of multifunctional organic luminescent molecules as an interfacial engineering material is a highly useful and facile method for improving the performance of planar perovskite solar cells.",,,,,,,,,,,,,,,,,2050-7526,2050-7534,,,,21-May,2019,7,19,,,,,5686,5694,,10.1039/c9tc00064j,,,,,,,,WOS:000472444000014,,,,,
J,"Urbani, M; de la Torre, G; Nazeeruddin, MK; Torres, T",,,,"Urbani, Maxence; de la Torre, Gema; Nazeeruddin, Mohammad Khaja; Torres, Tomas",,,Phthalocyanines and porphyrinoid analogues as hole- and electron-transporting materials for perovskite solar cells,CHEMICAL SOCIETY REVIEWS,,,,,,,,,,,,"Organic-inorganic lead halide perovskite absorbers in combination with electron and hole transporting selective contacts result in power conversion efficiencies of over 23% under AM 1.5 sun conditions. The advantage of perovskite solar cells is their simple fabrication through solution-processing methods either in n-i-p or p-i-n configurations. Using TiO2 or SnO2 as an electron transporting layer, a compositionally engineered perovskite as an absorber layer, and Spiro-OMeTAD as a HTM, several groups have reported over 20% efficiency. Though perovskite solar cells reached comparable efficiency to that of crystalline silicon ones, their stability remains a bottleneck for commercialization partly due to the use of doped Spiro-OMeTAD. Several organic and inorganic hole transporting materials have been explored to increase the stability and power conversion efficiency of perovskite solar cells. IIn this review, we analyse the stability and efficiency of perovskite solar cells incorporating phthalocyanine and porphyrin macrocycles as hole- and electron transporting materials. The - stacking orientation of these macrocycles on the perovskite surface is important in facilitating a vertical charge transport, resulting in high power conversion efficiency.",,,,"; Urbani, Maxence/G-6788-2015; de la Torre, Gema/L-4588-2013; Torres, Tomas/H-9796-2014","Nazeeruddin, Mohammad Khaja/0000-0001-5955-4786; Urbani, Maxence/0000-0001-7733-6440; de la Torre, Gema/0000-0002-4585-9746; Torres, Tomas/0000-0001-9335-6935",,,,,,,,,,,,0306-0012,1460-4744,,,,21-May,2019,48,10,,,,,2738,2766,,10.1039/c9cs00059c,,,,,,,,WOS:000472226400003,31033978,,,,
J,"Yu, XZ; Yan, HM; Peng, Q",,,,"Yu, Xiaozhou; Yan, Haoming; Peng, Qing",,,Reaction Temperature and Partial Pressure Induced Etching of Methylammonium Lead Iodide Perovskite by Trimethylaluminum,LANGMUIR,,,,,,,,,,,,"Al2O3 atomic layer deposition (ALD), which uses trimethylaluminum (TMA) as the metal precursor, shows promise in improving the environmental stability of hybrid halide perovskites. However, it is not yet entirely clear how TMA, a strong Lewis acid, reacts with fresh perovskites and how the reaction affects the nucleation of ALD Al2O3. Here, the effects of reaction temperature and partial pressure of TMA on the mechanisms of TMA/CH3NH3PbI3 reactions are investigated. Our real time mass gain data and in situ mass spectrometry data show that the TMA/CH3NH3PbI3 reaction can either remove mass or accumulate mass onto CH3NH3PbI3 substrates, depending strongly on the reaction temperature and partial pressure of TMA. The TMA/CH3NH3PbI3 reaction probably generates TMA-CH(3)NHx adduct compounds, which protects CH3NH3PbI3 from TMA by forming a shell at 25 degrees C in the vacuum process. However, these adduct compounds decompose at higher temperatures (e.g., 75 degrees C). This product layer is much thicker than a monolayer, suggesting the interface formed between Al2O3 coating and CH3NH3PbI3 is blurring and messy. These results have not yet, but should be, carefully considered to correctly interpret the effect of ALD Al2O3 treatment on optoelectronic properties of CH3NH3PbI3.",,,,,,,,,,,,,,,,,0743-7463,,,,,21-May,2019,35,20,,,,,6522,6531,,10.1021/acs.langmuir.8b01419,,,,,,,,WOS:000469291500003,31035746,,,,
