PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhang, YH; Hao, NK; Lin, XJ; Nie, SX				Zhang, Yuehua; Hao, Ningke; Lin, Xuejiao; Nie, Shuangxi			Emerging challenges in the thermal management of cellulose nanofibril-based supercapacitors, lithium-ion batteries and solar cells: A review	CARBOHYDRATE POLYMERS			English	Review						Cellulose nanofibrils; Energy storage devices; Thermal management; Supercapacitor; Lithium-ion battery; Solar cells	HIGH-PERFORMANCE; CARBON NANOTUBES; ALUMINUM NITRIDE; THIN-FILMS; LIGHT MANAGEMENT; CONDUCTIVE PAPER; FLEXIBLE FILMS; HYBRID FILMS; BAGASSE PULP; GRAPHENE	In recent years, extensive efforts have been devoted to electronic miniaturization and integration. Accordingly, heating up of electronics has become a critical problem that needs to be urgently solved by efficient and reliable thermal management. Electronic device substrates made of cellulose nanofibrils (CNFs) exhibit outstanding flexibility, mechanical properties, and optical properties. Combining CNFs with high-thermal-conductivly fillers is an effective thermal management technique. This paper focuses on the thermal management of electronic devices and highlights the potential of CNF-based materials for efficient thermal management of energy storage electronic such as supercapacitors, lithium-ion batteries and solar cells. A high-thermal-conductivity composite material for electronic devices can be obtained by combining CNFs as the framework material with carbon nanotubes, graphene, and inorganic nitrides. Moreover, The research progress in the application of CNFs-based materials for supercapacitors, lithium-ion batteries and solar cells is highlighted, and the emerging challenges of different CNFs-based energy storage devices are discussed.	[Zhang, Yuehua; Hao, Ningke; Lin, Xuejiao; Nie, Shuangxi] Guangxi Univ, Sch Light Ind & Food Engn, Nanning 530004, Peoples R China; [Nie, Shuangxi] Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA	Nie, SX (reprint author), Guangxi Univ, Sch Light Ind & Food Engn, Nanning 530004, Peoples R China.	nieshuangxi@gxu.edu.cn	Nie, Shuangxi/R-5883-2018	Nie, Shuangxi/0000-0001-9695-3022	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [31971604]; Guangxi Natural Science Foundation of China [2018GXNSFDA281050]	This project was supported by the National Natural Science Foundation of China (31971604) and the Guangxi Natural Science Foundation of China (2018GXNSFDA281050).		204	0	0	6	6	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0144-8617	1879-1344		CARBOHYD POLYM	Carbohydr. Polym.	APR 15	2020	234								115888	10.1016/j.carbpol.2020.115888			18	Chemistry, Applied; Chemistry, Organic; Polymer Science	Chemistry; Polymer Science	KM1YK	WOS:000513917300012	32070508				2020-03-10	
J	Peffley, TB; Pearce, JM				Peffley, Trevor B.; Pearce, Joshua M.			The potential for grid defection of small and medium sized enterprises using solar photovoltaic, battery and generator hybrid systems	RENEWABLE ENERGY			English	Article						Photovoltaic; Hybrid system; Battery; Grid defection; Autoproduction; Captive power	CLIMATE-CHANGE; LEARNING-CURVE; ENERGY-SYSTEMS; NUCLEAR-POWER; RESIDENTIAL SOLAR; DISPATCH STRATEGY; LEVELIZED COST; STORAGE; EXTERNALITIES; PERFORMANCE	Grid-tied solar photovoltaic (PV) systems enable lowercost electricity for small and medium size enterprises (SMEs) than current many providers of grid electricity in the U.S. These economic realities threaten conventional electric utilities, which have begun manipulating rate structures to reduce the profitability of distributed generation (DG), as well as putting arbitrary caps on DG in their service territories. SMEs may still reduce electricity costs, if they can grid defect with hybrid captive power systems made up of solar PV, battery and generator subsystems. This paper analyzes the technical and economic viability for hybrid solar systems deployed in the commercial sector to enable self-generation. Specifically, for the first time, the economics of grid defection are analyzed for three case studies of SMEs in the northern U.S., which represent a challenging technical case because of long dark winters, but also have high utility costs. The results of the simulations make it clear that grid defection is already viable for SMEs with the current prices for all components in the solar hybrid system. These results were consistent across scale, load-profile, and utility rate. These economic projections included no government incentives or subsidies and can thus be considered extremely conservative for the specific case studies. Policy changes are discussed for electric utilities to avoid the potential of a utility death spiral in this and similar performing locations. (C) 2019 Elsevier Ltd. All rights reserved.	[Peffley, Trevor B.] Michigan Technol Univ, Dept Elect & Comp Engn, Houghton, MI 49931 USA; [Pearce, Joshua M.] Michigan Technol Univ, Dept Mat Sci & Engn, Houghton, MI 49931 USA; [Pearce, Joshua M.] Aalto Univ, Sch Elect Engn, Dept Elect & Nanoengn, Espoo, Finland	Pearce, JM (reprint author), Michigan Technol Univ, Dept Elect & Comp Engn, Houghton, MI 49931 USA.	pearce@mtu.edu	Pearce, Joshua/C-9240-2013	Pearce, Joshua/0000-0001-9802-3056				83	0	0	1	1	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-1481			RENEW ENERG	Renew. Energy	APR	2020	148						193	204		10.1016/j.renene.2019.12.039			12	Green & Sustainable Science & Technology; Energy & Fuels	Science & Technology - Other Topics; Energy & Fuels	KH3CU	WOS:000510524900016					2020-03-10	
J	Estrada-Lopez, JJ; Abuellil, A; Costilla-Reyes, A; Abouzied, M; Yoon, S; Sanchez-Sinencio, E				Estrada-Lopez, Johan J.; Abuellil, Amr; Costilla-Reyes, Alfredo; Abouzied, Mohamed; Yoon, Sungjun; Sanchez-Sinencio, Edgar			A Fully Integrated Maximum Power Tracking Combiner for Energy Harvesting IoT Applications	IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS			English	Article						Energy harvesting (EH); Internet-of-Things (IoT); maximum power tracking; multisource; passive start-up (PSU); power combiner; self-powered	CIRCUIT; VIBRATION; SYSTEM; SOLAR; MPPT	Modern Internet-of-Things (IoT) devices rely on energy harvesting to extend their battery life and create maintenance-free applications. However, energy from ambient sources is intermittent and unpredictable, which compromises the reliability of any system. Harvesting from multiple sources allows the collection of higher amounts of power, producing robust operation even in the presence of ambient variations. This paper describes the design of a fully integrated system that combines the energy delivered by four inputs. The proposed architecture applies a smart harvesting strategy based on the available power from the transducers. The two inputs with the most power are automatically selected and combined, while maximum power tracking is performed. If the other two sources still show some usable power, a two-way energy storage scheme allows their use to sustain the circuits operation. The system is fabricated in a 0.13-$\mu$m complementary metal-oxide-semiconductor (CMOS) technology. Experimental results demonstrate a peak tracking efficiency of 96$\%$. The power conversion efficiency has a maximum of 87.2$\%$ at 198 $\mu$W of output power and 72$\%$ at 981 mu W.	[Estrada-Lopez, Johan J.; Abuellil, Amr; Costilla-Reyes, Alfredo; Abouzied, Mohamed; Yoon, Sungjun; Sanchez-Sinencio, Edgar] Texas A&M Univ, Dept Elect Engn, College Stn, TX 77843 USA; [Estrada-Lopez, Johan J.] Univ Autonoma Yucatan, Fac Math, Merida 97000, Mexico	Estrada-Lopez, JJ (reprint author), Texas A&M Univ, Dept Elect Engn, College Stn, TX 77843 USA.	johan.estrada@tamu.edu; aabuellil@tamu.edu; acostillar@tamu.edu; mabouzied85@gmail.com; sungjun.yoon@tamu.edu; sanchez@ece.tamu.edu		Costilla Reyes, Alfredo/0000-0003-4614-7342; Estrada Lopez, Johan Jair/0000-0002-6064-0371	Consejo Nacional de Ciencia y Tecnologia (CONACYT)Consejo Nacional de Ciencia y Tecnologia (CONACyT); Texas Instruments; Silicon Labs	This work was supported in part by Consejo Nacional de Ciencia y Tecnologia (CONACYT), in part by Texas Instruments, and in part by Silicon Labs.		29	0	0	10	10	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0278-0046	1557-9948		IEEE T IND ELECTRON	IEEE Trans. Ind. Electron.	APR	2020	67	4					2744	2754		10.1109/TIE.2019.2907449			11	Automation & Control Systems; Engineering, Electrical & Electronic; Instruments & Instrumentation	Automation & Control Systems; Engineering; Instruments & Instrumentation	KC6TG	WOS:000507307000024					2020-03-10	
J	Yan, JC; Broesicke, OA; Wang, D; Li, D; Crittenden, JC				Yan, Junchen; Broesicke, Osvaldo A.; Wang, Dong; Li, Duo; Crittenden, John C.			Parametric life cycle assessment for distributed combined cooling, heating and power integrated with solar energy and energy storage	JOURNAL OF CLEANER PRODUCTION			English	Article						Parametric life cycle assessment; Distributed energy production; Combined cooling heat and power; Renewables; Energy storage; Integrated system; Life cycle cost	STIRLING ENGINE CHP; SYSTEMS; IMPACTS; BATTERY; CCHP; OPTIMIZATION; PERFORMANCE; EMISSIONS; PV; US	In this research, we develop a parametric life cycle assessment framework and evaluate the environmental and economic trade-offs of a distributed combined cooling, heating, and power system integrated with renewable energy and energy storage system (CCHP-RE-ESS). Also, we compare this to centralized conventional energy generation. The CCHP-RE-ESS system consists of microturbines, solar PVs, lithium-ion batteries, and other auxiliary system components. Using a parametric life cycle assessment approach, we learn the trade-offs environmental and economic impacts for various sizes of solar PVs arrays and batteries. The emission impact result from the parametric life cycle assessment is more accurate than the conventional life cycle assessment due to hourly-based simulation and parametric models for different system components. Our simulations show that the proposed system that follows the thermal load can primarily reduce the overall environmental impact as compared to the centralized conventional energy production for most building types and climate zones we studied. For example, the system can help a medium office in Atlanta reduce 46% of global warming impact, 98% of water usage, 93% of acidification impact, etc. In terms of cost, the life cycle cost of the proposed system is often higher than conventional energy generation while it is more economical for the small and large office than the medium office. (C) 2019 Elsevier Ltd. All rights reserved.	[Yan, Junchen; Broesicke, Osvaldo A.; Wang, Dong; Crittenden, John C.] Georgia Inst Technol, Brook Byers Inst Sustainable Syst, Sch Civil & Environm Engn, 828 West Peachtree St,Suite 320, Atlanta, GA 30332 USA; [Li, Duo] Int Alliance Environm Protect & Sustainable Dev I, Atlanta, GA USA	Yan, JC; Wang, D (reprint author), Georgia Inst Technol, Brook Byers Inst Sustainable Syst, Sch Civil & Environm Engn, 828 West Peachtree St,Suite 320, Atlanta, GA 30332 USA.	junchen.yan@gatech.edu; dwang473@gatech.edu			Brook Byers Institute for Sustainable Systems at the Georgia Institute of Technology; Hightower Chair at the Georgia Institute of Technology; Georgia Research Alliance at the Georgia Institute of Technology; National Science Foundation, Division of Civil, Mechanical, & Manufacturing Innovation (CMMI) [1745580]	The authors appreciate the support from the Brook Byers Institute for Sustainable Systems, Hightower Chair, and Georgia Research Alliance at the Georgia Institute of Technology. This work was also supported by the grant for "EAGER: SSDIM: Superimposed Simulations: Fast Generation of Synthetic Data of Interdependent Critical Infrastructures" (#1745580) from the National Science Foundation, Division of Civil, Mechanical, & Manufacturing Innovation (CMMI). The views and ideas expressed herein are solely those of the authors and do not represent the ideas of the funding agencies in any form.		37	0	0	14	14	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0959-6526	1879-1786		J CLEAN PROD	J. Clean Prod.	MAR 20	2020	250								119483	10.1016/j.jclepro.2019.119483			11	Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences	Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology	KE8WO	WOS:000508829800069					2020-03-10	
J	Hamilton, WT; Husted, MA; Newman, AM; Braun, RJ; Wagner, MJ				Hamilton, William T.; Husted, Mark A.; Newman, Alexandra M.; Braun, Robert J.; Wagner, Michael J.			Dispatch optimization of concentrating solar power with utility-scale photovoltaics	OPTIMIZATION AND ENGINEERING			English	Article						Dispatch optimization; Concentrating solar power (CSP); Photovoltaics (PV); Lithium-ion battery; Mixed-integer linear programming (MILP); CSP-PV hybrid systems; Grid integration; System analysis	ELECTRICAL ENERGY-STORAGE; BATTERY STORAGE; ECONOMIC-ANALYSIS; PV; PLANTS; SYSTEMS; OPERATION; COST; COMBINATION; GENERATION	Concentrating solar power (CSP) tower technologies capture thermal radiation from the sun utilizing a field of solar-tracking heliostats. When paired with inexpensive thermal energy storage (TES), CSP technologies can dispatch electricity during peak-market-priced hours, day or night. The cost of utility-scale photovoltaic (PV) systems has dropped significantly in the last decade, resulting in inexpensive energy production during daylight hours. The hybridization of PV and CSP with TES systems has the potential to provide continuous and stable energy production at a lower cost than a PV or CSP system alone. Hybrid systems are gaining popularity in international markets as a means to increase renewable energy portfolios across the world. Historically, CSP-PV hybrid systems have been evaluated using either monthly averages of hourly PV production or scheduling algorithms that neglect the time-of-production value of electricity in the market. To more accurately evaluate a CSP-PV-battery hybrid design, we develop a profit-maximizing mixed-integer linear program (H) that determines a dispatch schedule for the individual sub-systems with a sub-hourly time fidelity. We present the mathematical formulation of such a model and show that it is computationally expensive to solve. To improve model tractability and reduce solution times, we offer techniques that: (1) reduce the problem size, (2) tighten the linear programming relaxation of (H) via reformulation and the introduction of cuts, and (3) implement an optimization-based heuristic (that can yield initial feasible solutions for ( H) and, at any rate, yields near-optimal solutions). Applying these solution techniques results in a 79% improvement in solve time, on average, for our 48-h instances of (H); corresponding solution times for an annual model run decrease by as much as 93%, where such a run consists of solving 365 instances of (H), retaining only the first 24 h' worth of the solution, and sliding the time window forward 24 h. We present annual system metrics for two locations and two markets that inform design practices for hybrid systems and lay the groundwork for a more exhaustive policy analysis. A comparison of alternative hybrid systems to the CSP-only system demonstrates that hybrid models can almost double capacity factors while resulting in a 30% improvement related to various economic metrics.	[Hamilton, William T.; Husted, Mark A.; Newman, Alexandra M.; Braun, Robert J.] Colorado Sch Mines, 1500 Illinois St, Golden, CO 80401 USA; [Wagner, Michael J.] Natl Renewable Energy Lab, Thermal Sci Grp, 15013 Denver West Pkwy, Golden, CO 80401 USA	Newman, AM (reprint author), Colorado Sch Mines, 1500 Illinois St, Golden, CO 80401 USA.	anewman@mines.edu			United States Department of Energy Energy Efficiency and Renewable EnergyUnited States Department of Energy (DOE) [DE-EE00025831, DEEE00030338]	The United States Department of Energy Energy Efficiency and Renewable Energy under award numbers DE-EE00025831 and DEEE00030338 funded this work. The authors thank Jolyon Dent at SolarReserve for information regarding modeling priorities and plant operations.		57	0	0	0	0	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1389-4420	1573-2924		OPTIM ENG	Optim. Eng.	MAR	2020	21	1					335	369		10.1007/s11081-019-09449-y			35	Engineering, Multidisciplinary; Operations Research & Management Science; Mathematics, Interdisciplinary Applications	Engineering; Operations Research & Management Science; Mathematics	KP9OO	WOS:000516560400013					2020-03-10	
J	Wang, XW; Liang, RR; Fisher, P; Chan, W; Xu, J				Wang, Xiawa; Liang, Renrong; Fisher, Peter; Chan, Walker; Xu, Jun			Critical design features of thermal-based radioisotope generators: A review of the power solution for polar regions and space	RENEWABLE & SUSTAINABLE ENERGY REVIEWS			English	Review						Radioisotope electrical generator; Thermal-to-electricity conversion; Radioisotope fuel; Thermal insulation; Nuclear batteries	THERMOELECTRIC-MATERIAL; HIGH-PERFORMANCE; HEAT-SOURCES; AMTEC CELL; SYSTEM; OPTIMIZATION; EFFICIENCY; CONVERSION; CONVERTER; CONDUCTIVITY	As one special type of sustainable energy source, radioisotopes have extremely high energy densities. Electrical generators using the decay heat from these radioisotopes can provide long-lasting power when other types of energy, such as solar or chemical energy, are not available. Starting from the 1960s, radioisotope generators were safely used in numerous space and terrestrial missions, and have powered systems from interstellar spacecraft to lighthouses along the arctic coast. This work reviewed the generator development and critical components that constitute a functional system. Started with a brief generator history, the paper focused on technological aspects including fuel manufacturing, energy conversion elements, thermal insulation, structural materials, prototype measurements, future improvements, and concluded with the safety aspects for both space and terrestrial applications. Radioisotope generators are one example of using nuclear energy in a peaceful way to benefit human be-ings. Plutonium fuel productions were resumed and accelerated in the United States and americium fuel research was actively sponsored by the European Space Agency. It is promis-ing that more and more high performance generators will be used in future land and space missions.	[Wang, Xiawa; Liang, Renrong; Xu, Jun] Tsinghua Univ, Beijing Natl Res Ctr Informat Sci & Technol, Beijing 100084, Peoples R China; [Fisher, Peter; Chan, Walker] MIT, Inst Soldier Nanotechnol, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Fisher, Peter] MIT, Dept Phys, Cambridge, MA 02139 USA	Wang, XW (reprint author), Tsinghua Univ, Beijing Natl Res Ctr Informat Sci & Technol, Beijing 100084, Peoples R China.	xiawaw@mail.tsinghua.edu.cn			Army Research Office through the Institute for Soldier Nanotechnologies [W911NF-07-D0004]; Na-tional Key Research and Development Program of China [2016YFA0302300, 2016YFA0200400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61306105]; MAST [892730]; S3TEC [DE-SC0001299]	This work was partially supported by the Army Research Office through the Institute for Soldier Nanotechnologies under Contract No. W911NF-07-D0004, the MAST contract 892730 and by the S3TEC DE-SC0001299. The work was partially supported by the Na-tional Key Research and Development Program of China under Grant 2016YFA0302300 and Grant 2016YFA0200400, and the National Natural Science Foundation of China under Grant 61306105. The author wants to express sincere gratitude to NASA, Elsevier, AIAA, AIP Publishing, Pearson publishing, Taylor and Francis, DOE, ESA, RSC publishing, and authors having works with creative common license for their permission of image reprints.		157	0	0	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	1364-0321			RENEW SUST ENERG REV	Renew. Sust. Energ. Rev.	MAR	2020	119								109572	10.1016/j.rser.2019.109572			19	Green & Sustainable Science & Technology; Energy & Fuels	Science & Technology - Other Topics; Energy & Fuels	KJ9XK	WOS:000512406900034		Bronze			2020-03-10	
J	Krause, FC; Loveland, JA; Smart, MC; Brandon, EJ; Bugga, RV				Krause, Frederick C.; Loveland, Jessica A.; Smart, Marshall C.; Brandon, Erik J.; Bugga, Ratnakumar V.			Implementation of commercial Li-ion cells on the MarCO deep space CubeSats	JOURNAL OF POWER SOURCES			English	Article						CubeSats; Li-ion cells; Mars mission; COTS cells; Panasonic 18650 cells; Lander EDL	LITHIUM BATTERIES	In NASA's first technology demonstration of CubeSats in deep space, MarCO-A and MarCO-B were launched with the Mars InSight mission. These CubeSats successfully transmitted the InSight lander's entry, descent, and landing telemetry back to Earth in near-real time, which was not possible with existing Mars orbital data relay systems. In addition to solar arrays, each MarCO CubeSat was powered by a 3S4P battery comprising 18650-size lithium-ion cells. These commercial lithium-ion cells (Panasonic NCR18650B) were screened and matched using a cell selection process that was simplified relative to larger missions, to ensure safe and reliable battery behavior at an acceptable cost. This paper describes the design of the MarCO power system and battery, the lithium-ion battery cell testing and screening processes and results, and initial performance data from MarCO flight telemetry.	[Krause, Frederick C.; Loveland, Jessica A.; Smart, Marshall C.; Brandon, Erik J.; Bugga, Ratnakumar V.] CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA	Bugga, RV (reprint author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA.	Ratnakumar.V.Bugga@jpl.nasa.gov			U.S. Government; MarCO CubeSat project at JPL	The research was carried out at the Jet Propulsion Laboratory, California Institute of Technology, under a contract with the National Aeronautics and Space Administration. Copyright 2019 California Institute of Technology. U.S. Government sponsorship acknowledged. This work was funded by the MarCO CubeSat project at JPL.		16	0	0	3	3	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0378-7753	1873-2755		J POWER SOURCES	J. Power Sources	FEB 15	2020	449								227544	10.1016/j.jpowsour.2019.227544			9	Chemistry, Physical; Electrochemistry; Energy & Fuels; Materials Science, Multidisciplinary	Chemistry; Electrochemistry; Energy & Fuels; Materials Science	KH9CP	WOS:000510947000005					2020-03-10	
J	Li, HJ; Zhao, GQ; Qin, LQ; Yang, YF				Li, Haijian; Zhao, Guoqiang; Qin, Lingqiao; Yang, Yanfang			Design and Optimization of a Hybrid Sensor Network for Traffic Information Acquisition	IEEE SENSORS JOURNAL			English	Article						Sensors; Wireless sensor networks; Network topology; Topology; Energy consumption; Optimization; Roads; Traffic engineering; traffic information acquisition; hybrid sensor network; graph theory; topology optimization	ROUTING PROTOCOL; ENERGY; LIFETIME	With the development of sensor and network technologies, a type of hybrid sensor network (HSN) has been developed in traffic information acquisition systems. Sensor types in HSNs are diversified, mostly by batteries or solar energy as their energy source. Energy determines their lifetime. If energy consumption of sensors can be reduced from the aspect of communication, their energy consumption can be saved and lifetime can be increased, so as to improve the benefit and efficiency of the whole network. To optimize the efficiency and consumption of HSNs, a graph theory-based model was proposed by considering nodes' connectivity power and the energy consumption of data transmission. Targeting different data volumes, two undigraph-based algorithms (PMST and DSPA) were introduced to solve the proposed optimization model. For a low data volume, the minimum spanning tree network based on PMST will be the optimal topology of an HSN. For a high data volume, the shortest path network based on DSPA will be the optimal topology. A numerical example of comprehensive traffic information acquisition at a signalized intersection was used to verify the proposed algorithms. The solution process and final optimal topologies based on the PMST and the DSPA were shown. Moreover, the energy parameters of different optimal topologies of HSNs were discussed, and it was proved that the optimal topology of an HSN is dependent on the data volume of each sensor node.	[Li, Haijian; Zhao, Guoqiang] Beijing Univ Technol, Coll Metropolitan Transportat, Beijing Key Lab Traff Engn, Beijing 100124, Peoples R China; [Qin, Lingqiao] Univ Wisconsin, Traff Operat & Safety Lab, Madison, WI 53706 USA; [Yang, Yanfang] China Acad Transportat Sci, Key Lab Transport Ind Big Data Applicat Technol C, Beijing 100029, Peoples R China	Yang, YF (reprint author), China Acad Transportat Sci, Key Lab Transport Ind Big Data Applicat Technol C, Beijing 100029, Peoples R China.	lihaijian@bjut.edu.cn; zhaoguoqiang@emails.bjut.edu.cn; lingqiao.qin@wisc.edu; yangyanfang@catsic.com	Qin, Lingqiao/B-7351-2018	Qin, Lingqiao/0000-0003-2861-4090	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [51608017]	This work was supported in part by the National Natural Science Foundation of China under Grant 51608017.		36	0	0	0	0	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1530-437X	1558-1748		IEEE SENS J	IEEE Sens. J.	FEB 15	2020	20	4					2132	2144		10.1109/JSEN.2019.2950273			13	Engineering, Electrical & Electronic; Instruments & Instrumentation; Physics, Applied	Engineering; Instruments & Instrumentation; Physics	KH8LJ	WOS:000510901800048					2020-03-10	
J	Aboulhassan, A; Hadwiger, M; Wodo, O				Aboulhassan, Amal; Hadwiger, Markus; Wodo, Olga			Extracting topology, shape and size from heterogenous microstructure	COMPUTATIONAL MATERIALS SCIENCE			English	Article						Feature extraction; Microstructural descriptor; Organic solar cells; Heterogenous microstructure; Computational geometry; Clustering	SCALING LAWS; TRANSFORMATIONS; ALGORITHM; STRENGTH	Materials with tailored microstructures are an emerging class of materials with applications to battery electrodes, organic electronics, and biosensors. Tailoring microstructural features that control properties of these materials depends on the ability to first identify the salient features governing properties and next to alter the microstructure accordingly. Choosing robust microstructure representation is pivotal towards completing both steps. In this paper, we focus on the first step and present the methodology for extracting and quantifying a local set of microstructural features covering topology, shape and size aspects of the microstructure. We use the myriad of tools to facilitate the process of clustering the common features in a given morphology and back tracking them in the input morphology opening avenues for the morphology optimization.	[Wodo, Olga] SUNY Buffalo, Dept Mat Design & Innovat, Buffalo, NY 14260 USA; [Aboulhassan, Amal; Hadwiger, Markus] King Abdullah Univ Sci & Technol, Visual Comp Ctr, Thuwal, Saudi Arabia	Wodo, O (reprint author), SUNY Buffalo, Dept Mat Design & Innovat, Buffalo, NY 14260 USA.	olgawodo@buffalo.edu		Hadwiger, Markus/0000-0003-1239-4871	King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology; National Science FoundationNational Science Foundation (NSF) [1906344]; Center for Computational Research at the University at Buffalo	This work was supported in part by King Abdullah University of Science and Technology (KAUST) and National Science Foundation (1906344). OW acknowledges the support provided by the Center for Computational Research at the University at Buffalo.		31	0	0	6	6	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0927-0256	1879-0801		COMP MATER SCI	Comput. Mater. Sci.	FEB 15	2020	173								109402	10.1016/j.commatsci.2019.109402			9	Materials Science, Multidisciplinary	Materials Science	KB0ET	WOS:000506172700038					2020-03-10	
J	Yazdekhasti, S; Piratla, KR; Sorber, J; Atamturktur, S; Khan, A; Shukla, H				Yazdekhasti, Sepideh; Piratla, Kalyan R.; Sorber, Jacob; Atamturktur, Sez; Khan, Abdul; Shukla, Harshit			Sustainability Analysis of a Leakage-Monitoring Technique for Water Pipeline Networks	JOURNAL OF PIPELINE SYSTEMS ENGINEERING AND PRACTICE			English	Article						Wireless sensor networks; Pipeline leakage detection; Smart and sustainable infrastructure monitoring	WIRELESS SENSOR NETWORKS; SYSTEM; COST; DESIGN; ISSUES; ENERGY	Water infrastructure plays a crucial role in delivering freshwater for survival and economic prosperity of communities. Regrettably, drinking water pipeline infrastructures in the US and many other developed and developing countries are in a deteriorated state becoming increasingly prone to leakages, which are estimated to be >= 20%. Although several sensor-based leakage-monitoring systems already have been developed to address this pressing challenge, the sustainability of such monitoring systems was never cross-checked, especially in the context of monitoring large-scale water-distribution systems. This paper thoroughly studies the life-cycle aspects of a vibration-based leak-detection technique, namely leak-detection index (LDI), accounting for its cost and energy consumption. The capabilities of this new technique have been demonstrated previously through an experimental campaign. In this paper, a follow-up sustainability evaluation is conducted after conceptual prototypes are developed for the real-world deployment of this new leakage-monitoring system. Batteries and solar panels are considered options for power supply. A representative water distribution network is used for estimating the life-cycle cost and energy consumption of leakage monitoring using the proposed prototypes. The sensitivity of cost and energy consumption to data sampling rate, data transmission rate, and sensor spacing are also evaluated in this study. The results presented in this paper will be of interest to researchers working on sensor-based monitoring systems for water infrastructures and to water utility managers. (C) 2019 American Society of Civil Engineers.	[Yazdekhasti, Sepideh] Xylem, 8920 MD 108, Columbia, MD 21045 USA; [Piratla, Kalyan R.; Khan, Abdul; Shukla, Harshit] Clemson Univ, Glenn Dept Civil Engn, Clemson, SC 29634 USA; [Sorber, Jacob] Clemson Univ, Sch Comp, Clemson, SC 29634 USA; [Atamturktur, Sez] Penn State Univ, Dept Architectural Engn, State Coll, PA 16801 USA	Piratla, KR (reprint author), Clemson Univ, Glenn Dept Civil Engn, Clemson, SC 29634 USA.	sepideh.yazdekhasti@xyleminc.com; kpiratl@clemson.edu; jsorber@clemson.edu; sez@psu.edu; abdkhan@clemson.edu; hshukla@clemson.edu			National Science Foundation (NSF)National Science Foundation (NSF) [1539536]; NSFNational Science Foundation (NSF)	This research was supported by the National Science Foundation (NSF) under Grant No. 1539536. The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies, either expressed or implied, of the United States Government. The support of the NSF is greatly appreciated.		102	0	0	13	13	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	1949-1190	1949-1204		J PIPELINE SYST ENG	J. Pipel. Syst. Eng. Pract.	FEB 1	2020	11	1							04019052	10.1061/(ASCE)PS.1949-1204.0000425			16	Engineering, Civil; Water Resources	Engineering; Water Resources	JW1AH	WOS:000502790600005					2020-03-10	
